S1_Temp,S2_Temp,S3_Temp,S4_Temp,S3_Light,S4_Light,S4_Sound,S6_PIR,S7_PIR,day_type,Time_of_day,Room_Occupancy_Count
25.19,24.94,24.69,25.63,59,45,0.11,1,0,1,1,1
25.19,24.88,24.69,25.63,59,45,0.09,0,0,1,1,1
25.19,24.94,24.75,25.63,60,46,0.06,0,0,1,1,1
25.19,24.94,24.75,25.63,61,47,0.09,0,0,1,1,1
25.25,24.94,24.75,25.63,61,46,0.13,1,0,1,1,1
25.25,24.94,24.75,25.63,61,46,0.06,0,0,1,1,1
25.25,24.94,24.75,25.56,60,46,0.06,0,0,1,1,1
25.25,24.94,24.75,25.69,59,45,0.06,0,0,1,1,1
25.25,24.94,24.75,25.63,59,45,0.07,0,0,1,1,1
25.25,24.94,24.75,25.63,60,46,0.08,1,0,1,1,1
25.25,24.94,24.75,25.63,60,45,0.07,0,0,1,1,1
25.25,24.94,24.75,25.69,60,45,0.08,1,0,1,1,1
25.25,24.94,24.75,25.69,60,45,0.06,0,0,1,1,1
25.25,24.94,24.81,25.63,59,45,0.1,0,0,1,1,1
25.25,24.94,24.75,25.63,60,45,0.06,0,0,1,1,1
25.25,24.94,24.75,25.56,59,45,0.07,0,0,1,1,1
25.25,25,24.81,25.63,59,45,0.07,0,0,1,1,1
25.25,24.94,24.81,25.69,61,47,0.08,0,0,1,1,1
25.25,25,24.81,25.69,62,47,0.05,1,0,1,1,1
25.25,25,24.81,25.63,61,46,0.1,0,0,1,1,1
25.25,25,24.81,25.69,60,45,0.11,1,0,1,1,1
25.31,25,24.81,25.69,60,46,0.07,0,0,1,1,1
25.31,25,24.81,25.63,60,45,0.06,0,0,1,1,1
25.31,25,24.81,25.63,60,45,0.07,0,0,1,1,1
25.31,25,24.81,25.69,60,45,0.06,0,0,1,1,1
25.31,25,24.81,25.75,60,46,0.11,0,0,1,1,1
25.31,25,24.81,25.75,63,48,0.06,0,0,1,1,1
25.31,25,24.81,25.75,64,49,0.12,0,0,1,1,1
25.31,25,24.81,25.69,65,49,0.07,1,0,1,1,1
25.31,25,24.81,25.75,64,49,0.09,1,0,1,1,1
25.31,25.25,24.88,25.75,61,46,0.1,1,1,1,1,1
25.31,25.63,24.81,25.75,62,46,0.12,1,1,1,1,1
25.38,25.44,24.81,25.69,63,49,0.11,1,1,1,1,1
25.38,25.44,24.81,25.75,63,49,0.14,1,1,1,1,1
25.38,25.44,24.88,25.75,63,49,0.08,1,1,1,1,1
25.38,25.44,24.81,25.75,64,50,0.09,0,1,1,1,1
25.38,25.38,24.81,25.81,67,53,0.1,0,1,1,1,1
25.38,25.38,24.88,25.81,68,54,0.17,0,1,1,1,1
25.38,25.44,24.81,25.81,69,54,0.16,0,1,1,1,1
25.38,25.44,24.88,25.69,70,54,0.23,1,0,1,1,1
25.38,25.44,24.81,25.81,67,53,0.1,1,0,1,1,1
25.38,25.31,24.88,25.75,68,53,0.11,0,0,1,1,1
25.38,25.38,24.88,25.75,68,53,0.24,1,0,1,1,1
25.38,25.38,24.88,25.75,68,53,0.18,1,0,1,1,1
25.38,25.44,24.88,25.75,69,54,0.12,1,0,1,1,1
25.44,25.44,24.88,25.75,70,54,0.11,1,0,1,1,1
25.44,25.38,24.88,25.81,70,54,0.19,1,0,1,1,1
25.44,25.38,24.88,25.81,70,54,0.17,1,0,1,1,1
25.44,25.44,24.88,25.81,70,54,0.15,0,0,1,1,1
25.44,25.5,24.88,25.75,70,53,0.14,1,1,1,1,1
25.44,25.56,24.88,25.75,68,53,0.17,1,1,1,1,1
25.44,25.5,24.88,25.75,69,54,0.13,0,1,1,1,1
25.44,25.56,24.94,25.75,69,54,0.11,1,1,1,1,1
25.44,25.56,24.94,25.81,70,54,0.07,0,1,1,1,1
25.44,25.56,24.94,25.75,71,55,0.11,1,1,1,1,1
25.5,25.56,24.88,25.81,71,55,0.14,1,1,1,1,1
25.5,25.56,24.88,25.81,72,54,0.17,0,0,1,1,1
25.44,25.56,24.94,25.88,71,54,0.27,1,0,1,1,1
25.44,25.56,24.94,25.81,71,54,0.17,1,1,1,1,1
25.5,25.56,24.94,25.81,70,54,0.08,1,0,1,1,1
25.5,25.56,24.94,25.75,70,54,0.28,0,0,1,1,1
25.44,25.63,24.94,25.81,70,54,0.06,1,0,1,1,1
25.5,25.63,24.94,25.81,71,55,0.09,0,0,1,1,1
25.5,25.63,24.94,25.88,72,55,0.09,0,1,1,1,1
25.5,25.63,24.94,25.81,71,55,0.11,1,1,1,1,1
25.5,25.63,24.94,25.81,73,56,0.13,1,1,1,1,1
25.5,25.56,24.94,25.81,72,55,0.15,1,1,1,1,1
25.5,25.63,24.94,25.81,73,56,0.09,1,0,1,1,1
25.5,25.63,24.94,25.81,73,56,0.13,1,0,1,1,1
25.56,25.63,24.94,25.81,73,56,0.07,1,0,1,1,1
25.56,25.69,25,25.94,74,56,0.06,0,0,1,1,1
25.56,25.69,25,25.81,73,56,0.06,0,0,1,1,1
25.5,25.69,24.94,25.81,73,56,0.07,0,0,1,1,1
25.56,25.69,25,25.81,73,56,0.1,0,1,1,1,1
25.56,25.69,25,25.81,74,56,0.13,1,1,1,1,1
25.56,25.69,25,25.81,74,57,0.12,1,0,1,1,1
25.56,25.75,25,25.81,74,57,0.11,1,1,1,1,1
25.56,25.75,25,25.81,75,57,0.07,1,1,1,1,1
25.56,25.75,25,25.88,74,57,0.14,1,1,1,1,1
25.56,25.69,25,25.88,74,56,0.06,1,0,1,1,1
25.56,25.75,25,25.88,74,56,0.08,1,0,1,1,1
25.56,25.69,25,25.88,75,58,0.2,1,1,1,1,1
25.56,25.75,25,25.94,75,58,0.21,1,1,1,1,1
25.56,25.75,25,25.88,75,58,0.17,1,1,1,1,1
25.56,25.69,25,25.94,75,58,0.46,1,1,1,1,1
25.56,25.94,25,25.94,75,58,0.36,1,1,1,1,1
25.56,26.38,25,25.94,75,58,0.83,1,1,1,1,1
25.56,26.81,25,25.94,75,57,0.11,1,1,1,1,1
25.56,26.81,25.06,25.88,75,56,0.32,1,1,1,1,1
25.56,27,25,25.94,74,57,0.19,1,1,1,1,1
25.56,26.94,25.06,26,73,56,0.15,1,1,1,1,1
25.56,27.19,25.06,25.88,71,57,0.06,0,0,1,1,1
25.56,27.25,25,25.94,74,58,0.06,0,0,1,1,1
25.56,27.44,25.06,26,75,58,0.06,0,0,1,1,1
25.56,27.5,25.06,26,75,58,0.06,0,0,1,1,1
25.56,27.56,25.06,26,75,58,0.07,0,0,1,1,1
25.56,27.75,25.06,26,75,58,0.09,1,0,1,1,1
25.56,27.94,25.06,25.94,75,59,0.06,1,0,1,1,1
25.56,27.69,25.06,26.06,77,59,0.08,0,0,1,1,1
25.56,27.5,25.06,26,76,59,0.06,1,0,1,1,1
25.56,27.44,25.06,26.06,75,59,0.09,1,0,1,1,1
25.56,27.56,25.06,26,76,59,0.08,1,0,1,1,1
25.56,27.38,25.06,25.94,77,59,0.15,1,0,1,1,1
25.63,27.31,25.06,25.94,76,59,0.07,1,0,1,1,1
25.63,27.31,25.06,25.94,76,59,0.11,1,0,1,1,1
25.63,27.38,25.06,25.94,76,59,0.17,0,0,1,1,1
25.63,27.38,25.13,25.94,77,59,0.06,1,0,1,1,1
25.63,27.44,25.06,25.94,76,59,0.06,0,0,1,1,1
25.63,27.38,25.06,25.94,78,60,0.06,0,0,1,1,1
25.63,27.44,25.06,25.94,79,60,0.13,1,0,1,1,1
25.63,27.56,25.06,25.94,79,60,0.14,1,0,1,1,1
25.63,27.5,25.06,25.94,79,60,0.18,1,0,1,1,1
25.69,27.56,25.06,25.88,79,60,0.16,0,0,1,1,1
25.63,27.5,25.06,25.94,80,61,0.36,1,1,1,1,1
25.63,27.56,25.06,25.94,80,60,0.19,1,1,1,1,1
25.63,27.63,25.13,26,78,60,0.14,1,0,1,1,1
25.63,27.63,25.13,25.94,79,60,0.15,1,0,1,1,1
25.63,27.81,25.13,26,78,59,0.22,1,1,1,1,1
25.63,28,25.13,26,77,59,0.21,0,1,1,1,1
25.69,28.19,25.13,26,76,59,0.19,0,0,1,1,1
25.69,28.13,25.13,25.94,77,59,0.19,0,1,1,1,1
25.69,28.06,25.13,26,77,59,0.21,1,0,1,1,1
25.69,27.88,25.13,26,79,60,0.21,1,1,1,1,1
25.69,27.81,25.13,26,79,60,0.16,1,1,1,1,1
25.69,27.75,25.13,26,79,59,0.21,1,1,1,1,1
25.69,27.94,25.13,26.06,77,60,0.2,1,1,1,1,1
25.63,28,25.13,26.06,78,60,0.17,1,1,1,1,1
25.69,28.19,25.13,26.06,79,61,0.17,1,0,1,1,1
25.69,28.13,25.13,26.06,80,61,0.14,1,0,1,1,1
25.69,28.13,25.13,26.06,80,62,0.07,1,0,1,1,1
25.69,28.19,25.13,26.06,80,59,0.12,1,0,1,1,1
25.69,28.19,25.13,26.06,78,59,0.12,1,0,1,1,1
25.69,28.13,25.13,26.06,77,60,0.07,0,0,1,1,1
25.69,28,25.19,26.06,80,61,0.15,1,0,1,1,1
25.69,28.13,25.13,26,81,63,0.08,1,0,1,1,1
25.69,28.13,25.13,26,82,63,0.18,0,0,1,1,1
25.69,28.31,25.13,26,81,63,0.16,0,0,1,1,1
25.69,28.31,25.19,26,81,62,0.1,1,0,1,1,1
25.69,28.38,25.13,26.06,80,62,0.37,1,0,1,1,1
25.69,28.5,25.19,26.06,80,61,0.06,0,0,1,1,1
25.69,28.5,25.19,26,80,61,0.08,0,0,1,1,1
25.69,28.5,25.19,26.06,80,60,0.06,0,0,1,1,1
25.69,28.44,25.19,26,79,60,0.06,0,0,1,1,1
25.75,28.38,25.19,26.06,78,60,0.07,0,0,1,1,1
25.69,28.25,25.19,26,79,62,0.06,0,0,1,1,1
25.69,28.44,25.19,26,81,62,0.07,1,0,1,1,1
25.69,28.38,25.19,26.06,80,61,0.14,1,0,1,1,1
25.69,28.38,25.19,26,190,60,0.19,1,0,1,1,1
25.69,28.44,25.19,26,190,64,0.25,1,1,1,1,1
25.75,28.56,25.19,26.06,205,65,0.29,1,1,1,1,1
25.75,28.56,25.25,26.06,214,66,0.48,1,1,1,1,1
25.75,28.63,25.25,26.06,220,63,0.62,1,1,1,1,1
25.75,28.56,25.31,26.06,224,65,0.85,1,1,1,1,1
25.75,28.44,25.31,26.06,224,64,0.43,1,1,1,1,1
25.75,28.31,25.31,26,222,65,0.47,1,1,1,1,1
25.75,28.5,25.31,26.06,217,65,0.45,1,1,1,1,1
25.81,28.69,25.31,26.13,217,65,0.2,1,1,1,1,1
25.75,28.69,25.31,26.06,216,65,0.13,1,0,1,1,1
25.75,28.63,25.31,26.06,216,65,0.22,1,1,1,1,1
25.81,28.81,25.31,26.06,223,67,0.43,1,1,1,1,1
25.81,28.75,25.31,26.06,225,68,0.26,1,1,1,1,1
25.81,28.88,25.31,26.06,224,67,0.36,1,1,1,1,1
25.81,28.81,25.38,26.06,224,67,0.65,1,1,1,1,1
25.81,28.81,25.38,26.13,215,66,3.4,1,1,1,1,1
25.81,28.94,25.38,26.13,223,65,1.03,1,1,1,1,1
25.81,28.94,25.31,26.13,222,66,0.28,1,1,1,1,1
25.81,28.94,25.38,26.13,222,66,0.27,1,1,1,1,1
25.81,29,25.38,26.06,224,67,3.4,1,1,1,1,1
25.81,28.94,25.38,26.06,223,67,0.5,1,1,1,1,1
25.81,28.94,25.38,26.06,223,67,0.47,1,1,1,1,1
25.81,29,25.38,26.06,221,66,0.23,1,0,1,1,1
25.81,28.94,25.38,26.06,221,66,0.33,1,1,1,1,1
25.81,28.81,25.38,26.06,221,66,0.21,1,1,1,1,1
25.94,28.19,25.5,26.19,229,70,0.31,1,1,1,1,1
25.94,28.13,25.5,26.19,229,70,0.47,1,1,1,1,1
25.94,28.13,25.5,26.19,228,70,0.18,1,1,1,1,1
25.94,28.06,25.5,26.13,229,70,3.4,1,1,1,1,1
25.94,28.13,25.5,26.19,229,70,0.31,1,1,1,1,1
25.94,28.25,25.5,26.19,228,70,0.28,1,1,1,1,1
25.94,28.25,25.5,26.13,228,70,1.35,1,1,1,1,1
25.94,28.38,25.56,26.19,228,70,0.31,0,1,1,1,1
25.94,28.19,25.5,26.13,228,70,1.84,1,0,1,1,1
25.94,28.19,25.56,26.13,227,70,2.43,1,1,1,1,1
25.94,28.25,25.56,26.13,227,70,0.6,1,1,1,1,1
25.94,28.38,25.56,26.19,228,70,0.33,1,1,1,1,1
25.94,28.25,25.56,26.13,228,70,0.26,1,1,1,1,1
25.94,28.19,25.56,26.13,228,69,0.1,1,1,1,1,1
25.94,28.13,25.56,26.19,227,70,0.43,1,0,1,1,1
25.94,28.25,25.63,26.19,226,69,0.32,1,1,1,1,1
25.94,28,25.63,26.19,226,70,0.3,1,1,1,1,1
25.94,28,25.63,26.19,227,70,0.07,0,0,1,1,1
26,27.94,25.63,26.19,228,70,0.12,1,1,1,1,1
25.94,28,25.69,26.25,221,70,0.43,1,1,1,1,1
26,28,25.69,26.19,225,70,0.87,1,1,1,1,1
25.94,27.94,25.69,26.19,269,69,0.81,1,1,1,1,1
26,27.81,25.69,26.19,267,69,0.55,0,1,1,1,1
25.94,27.81,25.69,26.19,267,68,0.28,1,1,1,1,1
25.94,27.75,25.69,26.19,266,70,0.38,1,1,1,1,1
25.94,27.81,25.69,26.19,267,69,0.92,1,1,1,1,1
26,27.75,25.69,26.19,267,70,0.28,1,1,1,1,1
25.94,27.75,25.69,26.25,270,70,0.29,1,1,1,1,1
26,27.88,25.75,26.25,261,70,0.25,0,1,1,1,1
26,27.81,25.75,26.25,272,71,0.18,1,1,1,1,1
26,27.81,25.75,26.19,274,72,0.14,1,1,1,1,1
26,27.88,25.75,26.19,272,71,0.23,1,1,1,1,1
26,27.88,25.75,26.25,272,70,0.17,1,1,1,1,1
26,27.88,25.81,26.19,270,70,0.07,0,1,1,1,1
26,27.94,25.81,26.19,268,70,0.06,0,0,1,1,1
26,27.81,25.81,26.19,268,70,0.06,1,0,1,1,1
26,27.81,25.81,26.19,268,70,0.06,1,0,1,1,1
26,27.75,25.81,26.19,266,69,0.09,0,0,1,1,1
26,27.69,25.81,26.19,267,70,0.07,0,0,1,1,1
26,27.75,25.81,26.25,267,70,0.09,0,1,1,1,1
26,27.75,25.81,26.25,254,69,0.75,1,1,1,1,1
26,27.63,25.88,26.25,268,70,0.43,1,1,1,1,1
26,27.63,25.88,26.19,269,70,0.29,1,1,1,1,1
26,27.63,25.88,26.25,270,71,0.33,1,1,1,1,1
26.06,27.56,25.88,26.19,272,73,0.44,0,1,1,1,1
26.06,27.56,25.88,26.19,274,73,0.42,1,1,1,1,1
26,27.5,25.88,26.31,280,72,0.29,1,1,1,1,1
26,27.5,25.88,26.31,275,70,0.74,0,1,1,1,1
26,27.38,25.94,26.25,275,70,0.14,1,1,1,1,1
26.06,27.44,25.88,26.31,276,71,0.54,1,0,1,1,1
26.06,27.5,25.88,26.25,276,71,0.58,1,1,1,1,1
26.06,27.44,25.88,26.31,275,72,0.48,0,1,1,1,1
26,27.38,25.88,26.31,278,73,0.26,0,1,1,1,1
26.06,27.38,25.94,26.25,278,72,0.45,1,1,1,1,1
26.06,27.38,25.94,26.31,278,72,0.5,1,1,1,1,1
26.06,27.31,25.94,26.25,250,71,0.22,1,1,1,1,1
26.06,27.31,25.94,26.31,275,71,0.52,0,1,1,1,1
26.06,27.25,25.94,26.25,276,73,0.58,0,1,1,1,1
26.06,27.31,25.88,26.31,279,72,0.79,1,1,1,1,1
26.06,27.19,25.94,26.31,278,72,0.83,1,1,1,1,1
26.06,27.19,25.88,26.31,278,72,0.47,1,1,1,1,1
26.06,27.25,25.94,26.25,276,72,0.55,1,1,1,1,1
26.06,27.25,25.94,26.25,279,72,0.54,1,1,1,1,1
26.06,27.31,25.94,26.31,279,72,0.18,1,1,1,1,1
26.06,27.38,25.94,26.31,279,72,0.1,1,1,1,1,1
26.06,27.38,25.94,26.31,279,72,0.11,0,1,1,1,1
26.06,27.38,25.94,26.31,277,71,0.57,1,1,1,1,1
26.06,27.31,25.94,26.25,276,71,0.68,1,1,1,1,1
26.06,27.31,25.94,26.25,277,70,0.1,1,1,1,1,1
26.06,27.25,25.94,26.31,275,70,0.1,0,1,1,1,1
26.06,27.25,25.94,26.31,276,71,0.06,0,1,1,1,1
26.06,27.13,25.94,26.25,277,72,0.08,0,1,1,1,1
26.13,27.06,26,26.31,278,71,0.08,0,0,1,1,1
26.06,27.06,25.94,26.31,272,72,0.1,0,0,1,1,1
26.06,27,25.94,26.25,279,72,0.17,1,1,1,1,1
26.06,27.06,26,26.31,277,71,0.09,1,1,1,1,1
26.06,26.94,26,26.31,277,71,0.1,1,1,1,1,1
26.13,27.13,25.94,26.31,276,70,0.11,1,1,1,1,1
26.06,27.13,25.94,26.31,275,71,0.12,0,1,1,1,1
26.06,27.06,26,26.38,276,70,0.08,1,1,1,1,1
26.06,27,26,26.31,275,70,0.14,1,1,1,1,1
26.06,27,26,26.31,274,70,0.11,1,1,1,1,1
26.13,27.06,26,26.31,274,71,1.36,1,1,1,1,1
26.06,27.13,26,26.31,279,71,0.25,1,1,1,1,1
26.06,27.06,26,26.25,275,70,0.09,1,1,1,1,1
26.13,27.19,26,26.31,274,70,0.08,0,0,1,1,1
26.06,27.19,26,26.31,274,71,0.14,0,1,1,1,1
26.13,27.19,26,26.31,277,73,0.11,0,1,1,1,1
26.13,27.13,26.06,26.31,280,73,0.07,1,0,1,1,1
26.13,27.13,26,26.31,278,72,0.12,1,1,1,1,1
26.06,27.25,26,26.31,254,72,0.34,1,1,1,1,1
26.13,27.19,26,26.25,273,73,0.66,1,1,1,1,1
26.13,27.19,26.06,26.25,277,72,0.1,1,0,1,1,1
26.13,27.19,26.06,26.25,278,72,0.06,1,0,1,1,1
26.13,27.19,26,26.31,278,73,0.07,1,0,1,1,1
26.13,27.06,26.06,26.31,280,73,0.09,0,0,1,1,1
26.13,27.19,26.06,26.25,279,72,0.09,1,0,1,1,1
26.13,27.19,26,26.31,279,71,0.11,1,0,1,1,1
26.13,27.19,26,26.31,276,72,0.07,0,0,1,1,1
26.13,27.19,26,26.38,279,72,0.07,0,0,1,1,1
26.13,27.06,26,26.31,279,73,0.12,0,0,1,1,1
26.13,27.06,26,26.31,279,74,0.1,1,0,1,1,1
26.13,27.06,26,26.5,280,73,0.1,1,0,1,1,1
26.19,27.13,26.06,26.38,278,73,0.07,1,0,1,1,1
26.13,27.13,26,26.38,269,73,0.19,1,1,1,1,1
26.19,27.06,26,26.38,280,73,0.08,1,1,1,1,1
26.13,27.13,26.06,26.38,275,72,0.09,0,1,1,1,1
26.13,27.19,26,26.38,277,72,0.14,0,0,1,1,1
26.19,27.13,26,26.38,277,73,0.07,0,0,1,1,1
26.13,27.06,26.06,26.38,278,74,0.11,0,0,1,1,1
26.19,27.19,26.06,26.31,280,73,0.07,0,1,1,1,1
26.19,27.31,26,26.38,278,73,0.17,1,1,1,1,1
26.19,27.25,26,26.38,269,74,0.41,1,1,1,1,1
26.19,27.19,26.06,26.38,268,74,0.4,1,1,1,1,1
26.19,27.25,26.06,26.38,273,73,0.1,1,1,1,1,1
26.19,27.25,26.06,26.31,272,74,0.11,1,1,1,1,1
26.19,27.19,26.06,26.31,274,74,0.07,0,1,1,1,1
26.19,27.25,26.06,26.31,273,74,0.07,0,0,1,1,1
26.19,27.25,26.06,26.31,272,74,0.08,1,0,1,1,1
26.19,27.19,26.06,26.31,273,74,0.23,1,0,1,1,1
26.19,27.25,26.06,26.38,272,74,0.14,0,0,1,1,1
26.19,27.31,26.06,26.38,271,73,0.15,1,1,1,1,1
26.19,27.31,26.06,26.38,269,70,0.16,0,1,1,1,1
26.19,27.31,26.06,26.38,268,70,0.19,1,1,1,1,1
26.19,27.31,26.13,26.44,267,70,0.79,1,1,1,1,1
26.19,27.25,26.13,26.44,266,70,0.73,1,1,1,1,1
26.19,27.38,26.13,26.44,265,70,1.03,1,1,1,1,1
26.19,27.31,26.13,26.38,266,70,0.12,1,1,1,1,1
26.19,27.25,26.13,26.38,266,70,0.64,1,0,1,1,1
26.19,27.31,26.13,26.38,218,59,0.61,1,1,1,1,1
26.19,27.25,26.13,26.44,97,60,0.64,1,1,1,1,0
26.19,27.06,26.13,26.38,98,59,0.1,1,1,1,1,0
26.19,26.94,26.13,26.38,97,60,0.08,0,1,1,1,0
26.19,26.88,26.06,26.38,98,60,0.06,0,0,1,1,0
26.19,26.88,26.06,26.44,101,62,0.06,0,0,1,1,0
26.13,26.81,26.13,26.44,101,61,0.06,0,0,1,1,0
26.19,26.81,26.06,26.38,100,61,0.06,0,0,1,1,0
26.19,26.81,26.06,26.44,99,60,0.06,0,0,1,1,0
26.19,26.75,26.06,26.44,98,59,0.06,0,0,1,1,0
26.19,26.75,26.06,26.38,96,59,0.06,0,0,1,1,0
26.19,26.69,26.06,26.44,97,59,0.06,0,0,1,1,0
26.19,26.63,26.06,26.38,96,59,0.06,0,0,1,1,0
26.13,26.63,26.06,26.38,96,59,0.06,0,0,1,1,0
26.13,26.56,26.06,26.38,95,59,0.07,0,0,1,1,0
26.13,26.56,26,26.38,98,61,0.07,0,0,1,1,0
26.13,26.56,26,26.38,99,62,0.09,0,0,1,1,0
26.06,26.56,26,26.44,100,62,0.06,0,0,1,1,0
26.13,26.56,26,26.38,101,61,0.06,0,0,1,1,0
26.06,26.56,26,26.44,100,61,0.06,0,0,1,1,0
26.13,26.56,26,26.38,100,60,0.07,0,0,1,1,0
26.13,26.5,26,26.38,98,59,0.06,0,0,1,1,0
26.13,26.5,26,26.38,98,60,0.07,0,0,1,1,0
26.06,26.5,26,26.31,99,61,0.06,0,0,1,1,0
26.13,26.44,26,26.38,99,61,0.07,0,0,1,1,0
26.06,26.44,26,26.38,99,60,0.08,0,0,1,1,0
26.06,26.44,26,26.38,99,59,0.17,0,0,1,1,0
26.06,26.44,25.94,26.38,97,60,0.06,1,1,1,1,0
26.06,26.44,25.94,26.44,98,59,0.06,0,0,1,1,0
26.06,26.5,25.94,26.38,96,59,0.06,0,0,1,1,0
26.06,26.44,25.94,26.38,96,59,0.05,0,0,1,1,0
26.06,26.44,25.94,26.38,95,59,0.06,0,0,1,1,0
26.06,26.38,25.94,26.31,96,60,0.06,0,0,1,1,0
26.06,26.38,25.94,26.38,98,60,0.06,0,0,1,1,0
26.06,26.38,25.88,26.38,99,60,0.06,0,0,1,1,0
26.06,26.38,25.88,26.38,99,61,0.09,0,0,1,1,0
26.06,26.38,25.88,26.38,99,61,0.09,0,0,1,1,0
26.06,26.38,25.88,26.38,99,61,0.09,0,0,1,1,0
26.06,26.38,25.88,26.38,99,60,0.09,0,0,1,1,0
26.06,26.31,25.88,26.38,98,59,0.06,0,0,1,1,0
26.06,26.31,25.88,26.38,97,59,0.06,0,0,1,1,0
26.06,26.31,25.88,26.38,96,58,0.06,0,0,1,1,0
26.06,26.31,25.88,26.38,94,57,0.07,0,0,1,1,0
26,26.31,25.88,26.38,93,57,0.07,0,0,1,1,0
26,26.25,25.88,26.38,92,56,0.07,0,0,1,1,0
26,26.25,25.88,26.38,92,56,0.07,0,0,1,1,0
26.06,26.25,25.88,26.38,92,56,0.06,0,0,1,1,0
26,26.25,25.88,26.38,95,59,0.06,0,0,1,1,0
26,26.25,25.88,26.38,95,59,0.06,0,0,1,1,0
26,26.25,25.88,26.38,94,58,0.07,0,0,1,1,0
26,26.19,25.88,26.31,93,58,0.06,0,0,1,1,0
26,26.19,25.81,26.31,95,58,0.06,0,0,1,1,0
26,26.25,25.88,26.38,94,58,0.06,0,0,1,1,0
26,26.19,25.81,26.38,93,58,0.06,0,0,1,1,0
26,26.13,25.81,26.38,94,58,0.06,0,0,1,1,0
26,26.19,25.88,26.38,95,59,0.06,0,0,1,1,0
26,26.19,25.88,26.38,95,58,0.06,0,0,1,1,0
26,26.19,25.88,26.38,93,57,0.06,0,0,1,1,0
26,26.19,25.88,26.31,93,57,0.07,0,0,1,1,0
26,26.13,25.81,26.38,93,58,0.06,0,0,1,1,0
26,26.19,25.81,26.31,94,58,0.06,0,0,1,1,0
26,26.19,25.81,26.31,93,57,0.06,0,0,1,1,0
25.94,26.13,25.81,26.31,93,57,0.06,0,0,1,1,0
26,26.13,25.88,26.31,94,58,0.08,0,0,1,1,0
25.94,26.13,25.88,26.31,94,58,0.06,0,0,1,1,0
26,26.13,25.81,26.38,95,58,0.08,0,0,1,1,0
26,26.13,25.81,26.38,93,57,0.08,0,0,1,1,0
26,26.13,25.81,26.38,94,58,0.06,0,0,1,1,0
25.94,26.13,25.81,26.38,94,58,0.07,0,0,1,1,0
26,26.13,25.81,26.31,93,57,0.06,0,0,1,1,0
26,26.13,25.81,26.31,93,57,0.06,0,0,1,1,0
